Was ist Jira hauptsächlich?;Ein agiles Projektmanagement- und Aufgabenverfolgungstool;Ein Dokumentations-Wiki, Ein E-Mail-Client
Wofür wird Confluence primär genutzt?;Zum gemeinsamen Dokumentieren und Teilen von Wissen im Team;Zum Verwalten von Projekttasks in Boards, Zum Versenden von Statusberichten
Welche drei Tools bilden die Starter Familie?;Jira, Confluence und SharePoint;Slack, Teams und Outlook, Trello, Notion und Google Drive
Was zeigt der Backlog in Jira?;Alle geplanten, noch nicht begonnenen Aufgaben des Projekts;Den abgeschlossenen Teil des letzten Sprints, Den Projektzeitplan mit Meilensteinen
Welchen Hauptvorteil bietet SharePoint?;Strukturierte Dateiablage und Zusammenarbeit im Team;Automatisches Erstellen von Jira-Aufgaben, Live-Videokonferenzen im Team
Was ist ein Epic in Jira?;Ein großes Arbeitspaket das in kleinere User Stories unterteilt wird;Ein kritischer Fehler mit höchster Priorität, Eine abgeschlossene und archivierte Aufgabe
Welchen Vorteil bringt die Kombination von Jira und Confluence?;Transparenz und strukturiertes Arbeiten über alle Projektphasen;Aufgaben werden automatisch erledigt, Externe Kundenzugänge entfallen
Was dokumentiert man typischerweise in Confluence?;Projektergebnisse, Vorlagen, Entscheidungen und Teamwissen;Offene Bugs und Testfälle in Kanban-Boards, Rechnungen und Vertragsunterlagen
Welche Aufgabentypen gibt es in Jira?;Anforderung, Epic, Story, Aufgabe, Test, Risiko und Bug;Kapitel, Abschnitt und Absatz, Phase, Meilenstein und Deployment
Was bedeutet Projektzeit verkürzt durch Tool-Einsatz?;Alle Beteiligten arbeiten effizienter durch klare Strukturen und Transparenz;Meetings werden automatisch protokolliert, Aufgaben werden ohne Team erledigt
